"assigned_employee_id";"employee_name";"phone_number";"email";"address";"province_name";"town_name";"position"
0;"Amara Jengo";"+99637993287 ";"";"36 Pwani Mchangani Road";"Sokoto";"Ilanga";"Field Surveyor"
1;"Bello Azibo";"+99643864786 ";"";"129 Ziwa La Kioo Road";"Kilimani";"Rural";"Field Surveyor"
2;"Bakari Iniko";"+99222599041 ";"";"18 Mlima Tazama Avenue";"Hawassa";"Rural";"Field Surveyor"
3;"Malachi Mavuso";"+99945849900 ";"";"100 Mogadishu Road";"Akatsi";"Lusaka";"Field Surveyor"
4;"Cheche Buhle";"+99381679640 ";"";"1 Savanna Street";"Akatsi";"Rural";"Field Surveyor"
5;"Zuriel Matembo";"+99034075111 ";"";"26 Bahari Ya Faraja Road";"Kilimani";"Rural";"Field Surveyor"
6;"Deka Osumare";"+99379364631 ";"";"104 Kenyatta Street";"Akatsi";"Rural";"Field Surveyor"
7;"Lalitha Kaburi";"+99681623240 ";"";"145 Sungura Amanpour Road";"Kilimani";"Rural";"Field Surveyor"
8;"Enitan Zuri";"+99248509202 ";"";"117 Kampala Road";"Hawassa";"Zanzibar";"Field Surveyor"
10;"Farai Nia";"+99570082739 ";"";"33 Angélique Kidjo Avenue";"Amanzi";"Dahabu";"Field Surveyor"
12;"Gamba Shani";"+99438283153 ";"";"38 Mlima Tazama Avenue";"Hawassa";"Rural";"Field Surveyor"
14;"Harith Nyota";"+99917230124 ";"";"42 Malabo Drive";"Kilimani";"Rural";"Field Surveyor"
16;"Isoke Amani";"+99313603182 ";"";"55 Fennec Way";"Sokoto";"Rural";"Field Surveyor"
18;"Jengo Tumaini";"+99820596465 ";"";"17 Port Harcourt Boulevard";"Akatsi";"Kintampo";"Field Surveyor"
20;"Kunto Asha";"+99176320477 ";"";"30 Nyoka Achebe Street";"Amanzi";"Dahabu";"Field Surveyor"
22;"Lesedi Kofi";"+99611183730 ";"";"52 Moroni Avenue";"Sokoto";"Rural";"Field Surveyor"
24;"Makena Thabo";"+99690308755 ";"";"81 Rhodes Street";"Hawassa";"Rural";"Field Surveyor"
26;"Nia Furaha";"+99522694997 ";"";"51 Addis Ababa Road";"Akatsi";"Harare";"Field Surveyor"
28;"Ona Sefu";"+99797494944 ";"";"67 Wimbi Dira Avenue";"Akatsi";"Harare";"Field Surveyor"
30;"Pili Zola";"+99822478933 ";"";"46 Stone Town Street";"Hawassa";"Zanzibar";"Field Surveyor"
32;"Quibilah Akua";"+99533195846 ";"";"77 Kinshasa Boulevard";"Sokoto";"Rural";"Field Surveyor"
